新ID,,,,ENE,,,正例,負例,代表的な定義語,普通名詞フラグ,ENE英語表記,定義文,Definition,属性定義の有無,,注意事項用メモ,
1,4,6,2,,,企業名,"ＢＭＷ,  富士電機（株）,  三菱銀行,  トステム（株）,  岩波書店（株）
 
日本生命,　シンガポール航空,　住友銀行,　NTT,　日本商事,　JR西日本,　アサヒビール,　キャノン,　トヨタ

ソニー,　新日鉄,　NEC,　メルセデス・ベンツ日本,　AP通信,　フジテレビ（→企業名およびチャンネル名）

チッソ,　京浜急行電鉄,　東電,　全日空,　松竹,　関空会社,　セイコーホールディングス,　コロムビア・レコード

ＴＢＳラジオ（→企業名およびチャンネル名）,  東京FM（→企業名およびチャンネル名）
Gyao（→企業名およびチャンネル名）
NHK,  BBC（→企業名およびチャンネル名）,  日本銀行,台湾銀行,  国鉄,  首都鋼鉄（中国の国営企業）  ,農林中央金庫","株式会社(→ ＣＯＮＣＥＰＴ),　外資系企業(→ ＣＯＮＣＥＰＴ),

NHK教育テレビ（→チャンネル名）

JR(→企業グループ名)","企業,  会社,  出版社,  メーカー,  協同組合,  信用金庫,  プロダクション",,Company,営利目的で経済行為を行う組織の名前。,"A name of a company, which is a legal entity formed by a group of individuals to engage in and operate economical activities for the purpose of profit.",1,,,
1,4,6,3,,,企業グループ名,"松下グループ,  三菱財閥,  日産コンツェルン,  JR,  みずほファイナンシャルグループ,  フジサンケイグループ,  ロックフェラー財閥,  デュポン財閥

メルセデス・ベンツグループ,  ビッグ・スリー,    LVMH",企業グループ(→ ＣＯＮＣＥＰＴ),"企業,  財閥,  コングロマリット,  多国籍企業,  企業集団",,Company_Group,財閥、もしくは親会社を中心とした企業グループの名前。,"A name of a corporate group or group of companies, which is a collection of parent and subsidiary corporations that function as a single economic entity. ",1,,,
1,4,7,,,政治的組織名,,,,,,Political_Organization,政治活動を行う組織の名前。,A name of an organization that involves itself in the political activities. ,,,,
1,4,7,0,,政治的組織名,政治的組織名＿その他,"ウィンザー朝,  ラーンサーン王朝(→ 政治的組織名＿その他および国名),  秦朝(→政治的組織名＿その他および国名)
竹下派,  奥羽越列藩同盟

公明市議団,  自民党府連,  都議会公明党,  日本共産党東京都議会議員団,  えひめ民社協会

村山政権,  織豊政権,  エルシャド軍事独裁政権,  クリントン米政権

江戸幕府,  パレスチナ解放機構","自由民主党(→ 政党名),  小泉内閣(→ 内閣名),  経済産業省(→ 政府組織名)

連立政権(→ ＣＯＮＣＥＰＴ),  秘密警察(→ ＣＯＮＣＥＰＴ)","王朝,  議員連盟,  政治団体,  派閥,  政権",,Political_Organization_Other,政治的組織名のうち、その下位クラスに属さないもの。,A name of a political organization (1.4.7 Political_Organization) that does not belong to any of the other subordinate categories (1.4.7.1 - 1.4.7.4).,1,,,
1,4,7,1,,,政府組織名,"文部省,  経済企画庁,  韓国中央情報部,  気象庁,  ナイ委員会

大蔵省,  警察庁,  憲法調査会,  防衛庁,  チェチェン保安部,  内閣報道室,  高等教育局,  アビニョン教皇庁

公正取引委員会,  阪神・淡路復興委員会,  地方分権推進委員会,  大阪税関

長野県警,  特高

GHQ","連立政権(→ ＣＯＮＣＥＰＴ),  秘密警察(→ ＣＯＮＣＥＰＴ)

東京高等裁判所（→公共機関名）,  青梅市市役所(→ 公共機関名),  平生幹部交番(→ 公共機関名)","機関,  警察,  地方議会,  内部部局,  行政機関,  議会,  委員会,  支局",,Government,"各国の行政政府および立法の組織の名前。原則として組織の運営に税金が使われているもの。
ただし、裁判所や市役所、交番などの施設・場所として属性のあるものは含まない。","A name of a government, which is the organization determining and enforcing policies over a state, and in principle running itself with tax money.  
This does not include those attributable to 1.5 Location or 1.6 Facility Category (such as a court, city office or police station).",1,,,
1,4,7,2,,,政党名,"自民党,  二院クラブ,  平和・市民,  新党さきがけ,  共和党, 労働党,  シン・フェイン党, ロシア共産党,  日本新党,  中国国民党

自民,  社会,  共産","右派政党(→ ＣＯＮＣＥＰＴ),  与党(→ ＣＯＮＣＥＰＴ)

三塚派（→政治的組織名＿その他）","政党,  政治団体,  政党連合",,Political_Party,政治活動を行う政党や会派の名前。派閥など、政党内の小グループは含まない。,"A name of a political party, which is an organized group of people engaged in political activities. A smaller group inside a political party is not included here, but in 1.4.7.0 Political_Organization_Other Category. ",1,,,
1,4,7,3,,,内閣名,"田中角栄内閣,  原敬内閣,  小渕恵三内閣,  三木武夫内閣,  西園寺公望内閣",,"内閣,  政府",,Cabinet,国の行政権を担当する最高の合議機関の名前。,"A name of a cabinet, which is the highest administrative organ of a nation.",1,,,
1,4,7,4,,,軍隊名,"自衛隊,  自衛隊輸送機調整中隊,  陸上自衛隊第三師団,  アメリカ空軍, 　米海兵隊,   IRA,  ソ連軍

ドゥダエフ政権部隊,  チェコ憲兵部隊,  国連軍, 欧州連合軍,  国連平和維持活動（ＰＫＯ）部隊","軍隊(→ ＣＯＮＣＥＰＴ),  海軍(→ ＣＯＮＣＥＰＴ)
GHQ（→政府組織名）","部隊,  師団,  連隊,  軍隊,  軍,  連隊区,  軍事組織,  艦隊",,Military,軍事行動を行う組織の名前。,A name of a military or an armed force.,1,,,
1,5,,,地名,,,,,,,Location,場所に関する名前。,A name of a place or location.,,,,
1,5,0,,地名,地名＿その他,,"タイムズスクエア,  グランドゼロ（ニューヨーク）,  横浜中華街

千鳥ヶ淵,  中野南公園テント村,  ハリウッド,  上野公園地区,  港北ニュータウン

エデンの園","宇宙(→ ＣＯＮＣＥＰＴ)

グリニッジ・ヴィレッジ（→市区町村名）

丸の内（→市区町村名）","地域,  地区,  地名,  ニュータウン,  団地",,Location_Other,"地名のうち、その下位のクラスに属さないもの。
交差点など地点の名前や、郵便住所には現れない小さな地区の名前などを含む。
尚、場所を求める質問に対して不適切なものは含まない（例：宇宙→×）。","A name of a place or location (1.5 Location) that does not belong to any of the other subordinate categories (1.5.1 - 1.5.5).
This includes a spot such as an intersection, and a small district that is not used in postal address. 
This entity should be a word or phrase explaining the place or location of something; for example, Universe is not included here. ",1,,,
